sh600000 浦发银行   5.87 14.25 
sh600004 白云机场   1.93 11.64 
sh600005 武钢股份   5.07 3.52 
sh600006 东风汽车   0.51 5.97 
sh600007 中国国贸   2.65 14.35 
sh600008 首创股份   -0.08 11.82 
sh600009 上海机场   2.86 19.06 
sh600010 包钢股份   3.7 4.2 
sh600011 华能国际   4.26 8.82 
sh600012 皖通高速   4.26 6.12 
sh600015 华夏银行   9.98 12.34 
sh600016 民生银行   4.27 10.74 
sh600017 日照港    3.21 4.82 
gsh600018 上港集团   5.23 6.44 
sh600019 宝钢股份   5.97 6.75 
sh600020 中原高速   2.38 3.87 
sh600021 上海电力   2.17 7.55 
sh600022 山东钢铁   3.93 3.17 
sh600023 浙能电力   4.54 7.14 
sh600026 中海发展   5.2 9.71 
sh600028 中国石化   2.39 6.0 
sh600029 南方航空   5.58 5.11 
sh600030 中信证券   3.55 29.2 
sh600031 三一重工   10.0 9.79 
sh600033 福建高速   1.58 3.85 
sh600036 招商银行   3.22 14.76 
sh600037 歌华有线   0.84 14.36 
sh600038 哈飞股份   1.69 37.91 
sh600039 四川路桥   1.54 5.29 
sh600048 保利地产   2.48 8.27 
sh600050 中国联通   2.9 4.62 
sh600051 宁波联合   0.12 8.67 
sh600052 浙江广厦   0.16 6.15 
sh600053 中江地产   1.17 8.62 
sh600054 黄山旅游   6.85 15.76 
sh600055 华润万东   -0.25 20.15 
sh600056 中国医药   1.67 15.8 
sh600057 象屿股份   -0.39 10.31 
sh600058 五矿发展   7.25 16.71 
sh600059 古越龙山   1.0 9.05 
sh600060 海信电器   1.85 11.55 
sh600061 中纺投资   1.55 23.0 
sh600062 华润双鹤   -0.1 20.53 
sh600064 南京高科   3.46 17.03 
sh600066 宇通客车   1.21 20.97 
sh600067 冠城大通   3.43 7.54 
sh600068 葛洲坝    9.95 9.39 
sh600069 银鸽投资   0.61 4.92 
sh600070 浙江富润   1.62 8.14 
sh600071 凤凰光学   -1.8 12.58 
sh600072 *ST钢构  4.24 11.81 
sh600073 上海梅林   -0.2 9.82 
sh600074 中达股份   3.72 6.13 
sh600075 *ST新业  0.91 6.63 
sh600077 宋都股份   3.27 6.0 
sh600078 澄星股份   -0.29 6.9 
sh600079 人福医药   -0.04 25.32 
sh600080 金花股份   1.58 9.64 
